date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:55	944/944	---MCZ	200	added ('OK')	text/plain	etag:W/%22674b1bb6-c69%22	https://maestravienaco.magiablancaparaenamorar.com/robots.txt		(from )
18:46:56	355987/355987	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Feb%202026%2023:46:54%20GMT	https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/index0f53.html	(from )
18:46:56	134684/134684	---M--	200	added ('OK')	font/woff2	etag:%2269829e51-20e1c%22	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff2	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff2	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:57	322828/322828	---M--	200	added ('OK')	font/woff	etag:%2269829e51-4ed0c%22	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:57	872925/872925	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269829e51-d51dd%22	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.svg	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.svg	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:57	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Feb%202026%2019:34:10%20GMT	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:57	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Feb%202026%2019:34:10%20GMT	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:58	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%226994c2b2-12d68%22	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:58	98024/98024	---M--	200	added ('OK')	font/woff	etag:%226994c2b2-17ee8%22	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
18:46:58	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%226994c2b2-286ac%22	https://maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/maestraviena/maestravienaco.magiablancaparaenamorar.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://maestravienaco.magiablancaparaenamorar.com/?gad_source=1&gad_campaignid=21779975909&gbraid=0AAAAA-StKKJ4QX6IVevuS7FJBf3rB4XV0&gclid=EAIaIQobChMIg6SUqNzmkgMV76RaBR0pais7EAAYAyAAEgIPAPD_BwE)
